,address,price,link
0,"2133 Stockton Street Apartments | 2133 Stockton St, San Francisco, CA","$2,499+ 1 bd",https://www.zillow.com/b/2133-stockton-street-apartments-san-francisco-ca-5Xhzkj/
1,"Edgewater | 355 Berry St, San Francisco, CA","$2,833+ 1 bd",https://www.zillow.com/b/edgewater-san-francisco-ca-5XjVQc/
2,"1188 Mission at Trinity Place | 1188 Mission St, San Francisco, CA","$2,399+ 1 bd",https://www.zillow.com/b/1188-mission-at-trinity-place-san-francisco-ca-5XjN4q/
3,"Nob Hill Place | 1155 Jones St, San Francisco, CA","$2,836+ 1 bd",https://www.zillow.com/b/nob-hill-place-san-francisco-ca-5XkKgw/
4,"952 Sutter St. | 952 Sutter St, San Francisco, CA","$2,295+ 1 bd",https://www.zillow.com/b/952-sutter-st.-san-francisco-ca-5XjxLz/
5,"Marina Cove Apartments | 1550 Bay St, San Francisco, CA","$2,799+ 1 bd",https://www.zillow.com/b/marina-cove-apartments-san-francisco-ca-5XjRBB/
6,"2000 Post | 2000 Post St, San Francisco, CA","$2,493+ 1 bd",https://www.zillow.com/b/2000-post-san-francisco-ca-5XjRNn/
7,"1190 Mission at Trinity Place, 1190 Mission St APT 1621, San Francisco, CA 94103","$2,319/mo",https://www.zillow.comhttps://www.zillow.com/homedetails/1190-Mission-St-APT-1621-San-Francisco-CA-94103/2088875879_zpid/
8,"1177 Market at Trinity Place | 1177 Market St, San Francisco, CA","$2,899+ 2 bds",https://www.zillow.com/b/1177-market-at-trinity-place-san-francisco-ca-BNjvdD/
